Party,Won,Party_ID,party_alliance
Aam Aadmi Party - AAAP,3,1,I.N.D.I.A
Asom Gana Parishad - AGP,1,83,NDA
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,118,OTHERS
All India Trinamool Congress - AITC,29,140,I.N.D.I.A
AJSU Party - AJSUP,1,160,NDA
Bharatiya Janata Party - BJP,240,369,NDA
Communist Party of India - CPI,2,544,I.N.D.I.A
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,545,I.N.D.I.A
Communist Party of India  (Marxist) - CPI(M),4,547,I.N.D.I.A
Dravida Munnetra Kazhagam - DMK,22,582,I.N.D.I.A
Hindustani Awam Morcha (Secular) - HAMS,1,664,NDA
Indian National Congress - INC,99,742,I.N.D.I.A
Independent - IND,7,743,OTHERS
Indian Union Muslim League - IUML,3,772,I.N.D.I.A
Janata Dal  (Secular) - JD(S),2,804,NDA
Janata Dal  (United) - JD(U),12,805,NDA
Jammu & Kashmir National Conference - JKN,2,834,I.N.D.I.A
Jharkhand Mukti Morcha - JMM,3,852,I.N.D.I.A
Janasena Party - JnP,2,860,NDA
Kerala Congress - KEC,1,911,I.N.D.I.A
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,1046,I.N.D.I.A
Nationalist Congress Party - NCP,1,1142,NDA
Rashtriya Janata Dal - RJD,4,1420,I.N.D.I.A
Rashtriya Lok Dal - RLD,2,1458,NDA
Revolutionary Socialist Party - RSP,1,1534,I.N.D.I.A
Shiromani Akali Dal - SAD,1,1584,OTHERS
Sikkim Krantikari Morcha - SKM,1,1658,NDA
Samajwadi Party - SP,37,1680,I.N.D.I.A
Telugu Desam - TDP,16,1745,NDA
Viduthalai Chiruthaigal Katchi - VCK,2,1847,I.N.D.I.A
Yuvajana Sramika Rythu Congress Party - YSRCP,4,1888,OTHERS
"United People’s Party, Liberal - UPPL",1,1998,OTHERS
Apna Dal (Soneylal) - ADAL,1,2070,NDA
Rashtriya Loktantrik Party - RLTP,1,2484,I.N.D.I.A
Zoram People’s Movement - ZPM,1,2757,OTHERS
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,2989,OTHERS
Lok Janshakti Party(Ram Vilas) - LJPRV,5,3165,NDA
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,3369,I.N.D.I.A
Voice of the People Party - VOTPP,1,3388,OTHERS
Bharat Adivasi Party - BHRTADVSIP,1,3482,I.N.D.I.A
Shiv Sena - SHS,7,3529,NDA
Nationalist Congress Party Sharadchandra Pawar - NCPSP,8,3620,I.N.D.I.A
